negocio,etapa1_cotacao,etapa2_autorizacao,etapa3_cirurgia,etapa4_faturamento,status,ganho,ano,mes,vendedor,cliente,tipo_pagador,estado,produto,linha_produto,valor,receita_ganha,valor_perdido,motivo_perda,etapa_perda,dias_consignacao,dias_pagamento,ciclo_total_dias,dias_cotacao_autorizacao,dias_cirurgia_faturamento,valor_glosado,valor_recuperado,glosa_nao_recuperada
FH-2021-00366,2021-08-20,2021-09-06,2021-09-24,2021-10-24,Ganho,1,2021,2021-09,Marcelo Bastos,Vitalis Rede Integrada,Operadora verticalizada,PE,Implante de joelho,Ortopedia,52537,52537,0,,,31,130,161,17,30,5058,2721,2337
FH-2021-00315,2021-08-21,2021-09-15,2021-09-18,,Perdido,0,2021,2021-09,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Implante de joelho,Ortopedia,78407,0,78407,Troca de fornecedor em sala,E3 Cirurgia,64,0,64,25,0,0,0,0
FH-2021-00280,2021-08-23,,,,Perdido,0,2021,2021-08,Sérgio Tavares,Hospital Farol de Maceió,Hospital privado,AL,Placas e parafusos,Ortopedia,32820,0,32820,Produto indisponível em estoque,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00091,2021-08-24,,,,Perdido,0,2021,2021-08,Rogério Lins,Vitalis Rede Integrada,Operadora verticalizada,PE,Implante de joelho,Ortopedia,361707,0,361707,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00203,2021-08-24,,,,Perdido,0,2021,2021-08,Tatiana Coelho,Hospital Regional de Petrolina,Hospital público,PE,Marcapasso,Cardiologia,86086,0,86086,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00231,2021-08-26,,,,Perdido,0,2021,2021-08,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Stent farmacológico,Cardiologia,719674,0,719674,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00341,2021-08-26,,,,Perdido,0,2021,2021-08,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Haste intramedular,Ortopedia,234145,0,234145,Produto indisponível em estoque,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00137,2021-08-27,2021-09-03,2021-09-13,2021-12-02,Ganho,1,2021,2021-09,Rogério Lins,Hospital Ponta Verde,Hospital privado,PE,Kit de consumo cirúrgico,Cirurgia geral,57396,57396,0,,,36,129,165,7,80,2895,1189,1706
FH-2021-00235,2021-08-28,2021-09-02,,,Perdido,0,2021,2021-08,Tatiana Coelho,Hospital Vila Nova,Hospital privado,AL,Implante de quadril,Ortopedia,123638,0,123638,Procedimento não autorizado pelo pagador,E2 Autorizacao,0,0,0,5,0,0,0,0
FH-2021-00285,2021-08-28,,,,Perdido,0,2021,2021-08,Fábio Correia,Vitalis Rede Integrada,Operadora verticalizada,PE,Placas e parafusos,Ortopedia,53193,0,53193,Cotação respondida fora do prazo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00303,2021-08-28,2021-09-05,2021-09-23,2021-11-29,Ganho,1,2021,2021-09,Marcelo Bastos,Vitalis Rede Integrada,Operadora verticalizada,PE,Material para artroscopia,Ortopedia,303152,303152,0,,,30,134,164,8,67,24862,13330,11532
FH-2021-00051,2021-09-03,2021-09-29,,,Perdido,0,2021,2021-09,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Material para artroscopia,Ortopedia,52335,0,52335,Procedimento não autorizado pelo pagador,E2 Autorizacao,0,0,0,26,0,0,0,0
FH-2021-00064,2021-09-04,2021-09-21,,,Perdido,0,2021,2021-09,Tatiana Coelho,Hospital Farol de Maceió,Hospital privado,AL,Implante de joelho,Ortopedia,84896,0,84896,Autorização expirou,E2 Autorizacao,0,0,0,17,0,0,0,0
FH-2021-00213,2021-09-04,2021-09-16,,,Perdido,0,2021,2021-09,Luciana Prado,Vitalis Rede Integrada,Operadora verticalizada,PE,Cateter para angioplastia,Cardiologia,60742,0,60742,Cirurgia cancelada,E2 Autorizacao,0,0,0,12,0,0,0,0
FH-2021-00310,2021-09-04,2021-09-12,2021-09-15,2021-11-21,Ganho,1,2021,2021-09,Marcelo Bastos,Vitalis Rede Integrada,Operadora verticalizada,PE,Implante de joelho,Ortopedia,110420,110420,0,,,35,146,181,8,67,11829,4654,7175
FH-2021-00063,2021-09-09,2021-09-26,2021-10-17,2021-12-12,Ganho,1,2021,2021-10,Luciana Prado,Bem-Estar Saúde,Operadora verticalizada,PE,Implante de joelho,Ortopedia,63714,63714,0,,,39,126,165,17,56,3188,1181,2007
FH-2021-00041,2021-09-10,2021-10-04,2021-10-20,2021-12-06,Ganho,1,2021,2021-10,Tatiana Coelho,Hospital Vale do Capibaribe,Hospital privado,PE,Stent farmacológico,Cardiologia,69610,69610,0,,,19,112,131,24,47,2460,1020,1440
FH-2021-00061,2021-09-11,2021-09-16,2021-10-04,2021-10-29,Ganho,1,2021,2021-10,Ricardo Aragão,Centro Cirúrgico Casa Forte,Hospital privado,PE,Placas e parafusos,Ortopedia,168001,168001,0,,,70,155,225,5,25,12682,6305,6377
FH-2021-00113,2021-09-11,2021-09-22,2021-09-27,2021-10-25,Ganho,1,2021,2021-09,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Implante de quadril,Ortopedia,131029,131029,0,,,63,159,222,11,28,17557,11053,6504
FH-2021-00236,2021-09-13,2021-09-28,2021-10-05,2021-12-09,Perdido,0,2021,2021-10,Ricardo Aragão,Vitalis Rede Integrada,Operadora verticalizada,PE,Placas e parafusos,Ortopedia,342730,0,342730,Glosa não recuperada,E4 Faturamento,51,0,51,15,65,0,0,0
FH-2021-00140,2021-09-15,2021-09-29,,,Perdido,0,2021,2021-09,Tatiana Coelho,Hospital Manaíra,Hospital privado,PE,Implante de quadril,Ortopedia,45202,0,45202,Autorização expirou,E2 Autorizacao,0,0,0,14,0,0,0,0
FH-2021-00178,2021-09-15,,,,Perdido,0,2021,2021-09,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Material para artroscopia,Ortopedia,154891,0,154891,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00294,2021-09-15,2021-09-21,2021-10-07,2021-12-12,Ganho,1,2021,2021-10,Sérgio Tavares,Bem-Estar Saúde,Operadora verticalizada,PE,Marcapasso,Cardiologia,116516,116516,0,,,33,148,181,6,66,10986,4540,6446
FH-2021-00011,2021-09-16,,,,Perdido,0,2021,2021-09,Luciana Prado,Hospital São Rafael de Olinda,Hospital privado,PE,Haste intramedular,Ortopedia,10264,0,10264,Cotação respondida fora do prazo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00150,2021-09-17,,,,Perdido,0,2021,2021-09,Tatiana Coelho,Hospital Piedade,Hospital privado,RN,Marcapasso,Cardiologia,95609,0,95609,Sem contrato para atender,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00244,2021-09-17,2021-10-07,2021-10-19,2021-12-25,Ganho,1,2021,2021-10,Ricardo Aragão,Vitalis Rede Integrada,Operadora verticalizada,PE,Marcapasso,Cardiologia,233687,233687,0,,,45,176,221,20,67,18916,9692,9224
FH-2021-00260,2021-09-17,2021-09-29,2021-10-19,2021-12-29,Ganho,1,2021,2021-10,Paulo Menezes,Clinipar Integrada,Operadora verticalizada,PE,Introdutor e guia,Cardiologia,101189,101189,0,,,45,108,153,12,71,6195,3310,2885
FH-2021-00111,2021-09-19,,,,Perdido,0,2021,2021-09,Marcelo Bastos,Hospital Pina,Hospital privado,AL,Kit de consumo cirúrgico,Cirurgia geral,35641,0,35641,Produto indisponível em estoque,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00148,2021-09-19,2021-09-24,2021-10-06,2021-11-09,Ganho,1,2021,2021-10,Ricardo Aragão,Vitalis Rede Integrada,Operadora verticalizada,PE,Material para artroscopia,Ortopedia,434533,434533,0,,,51,172,223,5,34,37807,11186,26621
FH-2021-00043,2021-09-20,,,,Perdido,0,2021,2021-09,Sérgio Tavares,Clinipar Integrada,Operadora verticalizada,PE,Haste intramedular,Ortopedia,105184,0,105184,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00270,2021-09-20,2021-09-28,2021-10-07,2021-12-06,Ganho,1,2021,2021-10,Rogério Lins,Instituto Ortopédico Caruaru,Hospital privado,PE,Marcapasso,Cardiologia,35535,35535,0,,,28,111,139,8,60,3738,2068,1670
FH-2021-00351,2021-09-21,2021-10-01,,,Perdido,0,2021,2021-09,Tatiana Coelho,Clínica Ortopédica Boa Viagem,Hospital privado,PE,Material para artroscopia,Ortopedia,71909,0,71909,Cirurgia cancelada,E2 Autorizacao,0,0,0,10,0,0,0,0
FH-2021-00116,2021-09-22,2021-10-07,2021-10-21,,Perdido,0,2021,2021-10,Rogério Lins,Vitalis Rede Integrada,Operadora verticalizada,PE,Material para artroscopia,Ortopedia,43611,0,43611,Extravio intra-hospitalar,E3 Cirurgia,34,0,34,15,0,0,0,0
FH-2021-00322,2021-09-25,2021-10-16,2021-11-02,2021-12-20,Ganho,1,2021,2021-11,Paulo Menezes,Clinipar Integrada,Operadora verticalizada,PE,Marcapasso,Cardiologia,145039,145039,0,,,40,115,155,21,48,11088,5010,6078
FH-2021-00089,2021-09-26,,,,Perdido,0,2021,2021-09,Marcelo Bastos,Vitalis Rede Integrada,Operadora verticalizada,PE,Placas e parafusos,Ortopedia,85434,0,85434,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00300,2021-09-26,,,,Perdido,0,2021,2021-09,Fábio Correia,Bem-Estar Saúde,Operadora verticalizada,PE,Introdutor e guia,Cardiologia,263552,0,263552,Cliente com fornecedor exclusivo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00068,2021-09-27,2021-10-15,2021-10-17,2021-12-14,Ganho,1,2021,2021-10,Fábio Correia,Clínica Cirúrgica Derby,Hospital privado,PB,Material para artroscopia,Ortopedia,11703,11703,0,,,70,146,216,18,58,1803,1216,587
FH-2021-00378,2021-09-27,,,,Perdido,0,2021,2021-09,Marcelo Bastos,Vitalis Rede Integrada,Operadora verticalizada,PE,Stent farmacológico,Cardiologia,738161,0,738161,Cliente com fornecedor exclusivo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00018,2021-09-28,2021-10-16,2021-10-31,2021-11-22,Ganho,1,2021,2021-10,Rogério Lins,Centro Cirúrgico Casa Forte,Hospital privado,PE,Cateter para angioplastia,Cardiologia,46184,46184,0,,,28,141,169,18,22,2232,1332,900
FH-2021-00313,2021-09-28,2021-10-07,2021-10-28,2021-12-12,Ganho,1,2021,2021-10,Marcelo Bastos,Bem-Estar Saúde,Operadora verticalizada,PE,Material para artroscopia,Ortopedia,110193,110193,0,,,30,142,172,9,45,11886,8046,3840
FH-2021-00191,2021-10-01,2021-10-18,2021-11-06,2021-12-16,Ganho,1,2021,2021-11,Tatiana Coelho,Hospital Municipal de Paulista,Hospital público,PE,Kit de consumo cirúrgico,Cirurgia geral,34239,34239,0,,,17,96,113,17,40,869,476,393
FH-2021-00370,2021-10-03,,,,Perdido,0,2021,2021-10,Rogério Lins,Instituto Ortopédico Caruaru,Hospital privado,PE,Cateter para angioplastia,Cardiologia,167210,0,167210,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00154,2021-10-05,2021-10-21,2021-10-23,2021-12-17,Ganho,1,2021,2021-10,Marcelo Bastos,Vitalis Rede Integrada,Operadora verticalizada,PE,Introdutor e guia,Cardiologia,116765,116765,0,,,29,115,144,16,55,6945,5005,1940
FH-2021-00228,2021-10-07,,,,Perdido,0,2021,2021-10,Ricardo Aragão,Vitalis Rede Integrada,Operadora verticalizada,PE,Implante de quadril,Ortopedia,144209,0,144209,Cotação respondida fora do prazo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00183,2021-10-08,2021-10-30,2021-11-01,,Perdido,0,2021,2021-11,Marcelo Bastos,Hospital Municipal de Paulista,Hospital público,PE,Stent farmacológico,Cardiologia,24081,0,24081,Extravio intra-hospitalar,E3 Cirurgia,41,0,41,22,0,0,0,0
FH-2021-00134,2021-10-09,,,,Perdido,0,2021,2021-10,Ricardo Aragão,Hospital Torre,Hospital privado,PE,Cateter para angioplastia,Cardiologia,257701,0,257701,Cotação respondida fora do prazo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00368,2021-10-09,2021-10-17,2021-10-30,2022-01-29,Ganho,1,2021,2021-10,Paulo Menezes,Bem-Estar Saúde,Operadora verticalizada,PE,Marcapasso,Cardiologia,188799,188799,0,,,40,104,144,8,91,10036,3910,6126
FH-2021-00030,2021-10-11,2021-10-17,,,Perdido,0,2021,2021-10,Rogério Lins,Clinipar Integrada,Operadora verticalizada,PE,Stent farmacológico,Cardiologia,198649,0,198649,Cirurgia cancelada,E2 Autorizacao,0,0,0,6,0,0,0,0
FH-2021-00210,2021-10-11,2021-10-25,2021-11-13,2021-12-16,Ganho,1,2021,2021-11,Luciana Prado,Centro Cirúrgico Casa Forte,Hospital privado,PE,Marcapasso,Cardiologia,33296,33296,0,,,43,112,155,14,33,1218,439,779
FH-2021-00312,2021-10-11,,,,Perdido,0,2021,2021-10,Tatiana Coelho,Hospital Regional de Petrolina,Hospital público,PE,Placas e parafusos,Ortopedia,126892,0,126892,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00273,2021-10-13,2021-10-16,2021-10-25,2022-01-10,Perdido,0,2021,2021-10,Marcelo Bastos,Bem-Estar Saúde,Operadora verticalizada,PE,Material para artroscopia,Ortopedia,425673,0,425673,Inadimplência do cliente,E4 Faturamento,49,0,49,3,77,0,0,0
FH-2021-00162,2021-10-15,2021-10-18,2021-10-29,2022-01-17,Ganho,1,2021,2021-10,Tatiana Coelho,Hospital Torre,Hospital privado,PE,Kit de consumo cirúrgico,Cirurgia geral,10729,10729,0,,,29,108,137,3,80,583,233,350
FH-2021-00358,2021-10-16,2021-10-20,2021-11-09,2022-02-11,Ganho,1,2021,2021-11,Paulo Menezes,Hospital Madalena,Hospital privado,AL,Implante de joelho,Ortopedia,22603,22603,0,,,30,127,157,4,94,1811,570,1241
FH-2021-00144,2021-10-17,2021-11-11,,,Perdido,0,2021,2021-10,Ricardo Aragão,Hospital Monte Sinai,Hospital privado,PE,Placas e parafusos,Ortopedia,164152,0,164152,Procedimento não autorizado pelo pagador,E2 Autorizacao,0,0,0,25,0,0,0,0
FH-2021-00276,2021-10-17,2021-11-01,2021-11-15,2022-01-18,Ganho,1,2021,2021-11,Tatiana Coelho,Hospital Jardim Atlântico,Hospital privado,PE,Cateter para angioplastia,Cardiologia,109464,109464,0,,,29,87,116,15,64,3976,2695,1281
FH-2021-00380,2021-10-17,,,,Perdido,0,2021,2021-10,Marcelo Bastos,Vitalis Rede Integrada,Operadora verticalizada,PE,Stent farmacológico,Cardiologia,414266,0,414266,Cliente com fornecedor exclusivo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00119,2021-10-18,,,,Perdido,0,2021,2021-10,Tatiana Coelho,Hospital Bairro Novo,Hospital privado,PB,Stent farmacológico,Cardiologia,39173,0,39173,Cotação respondida fora do prazo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00037,2021-10-22,2021-11-02,2021-11-19,2021-12-21,Ganho,1,2021,2021-11,Paulo Menezes,Hospital Nossa Senhora do Carmo,Hospital privado,PE,Implante de quadril,Ortopedia,101122,101122,0,,,22,131,153,11,32,6462,1996,4466
FH-2021-00071,2021-10-22,2021-10-28,2021-11-09,,Perdido,0,2021,2021-11,Luciana Prado,Hospital Prazeres,Hospital privado,PE,Material para artroscopia,Ortopedia,51167,0,51167,Extravio intra-hospitalar,E3 Cirurgia,21,0,21,6,0,0,0,0
FH-2021-00054,2021-10-23,,,,Perdido,0,2021,2021-10,Rogério Lins,Vitalis Rede Integrada,Operadora verticalizada,PE,Material para artroscopia,Ortopedia,180177,0,180177,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00172,2021-10-23,2021-11-05,2021-11-09,2021-12-19,Ganho,1,2021,2021-11,Rogério Lins,Bem-Estar Saúde,Operadora verticalizada,PE,Implante de joelho,Ortopedia,191147,191147,0,,,34,133,167,13,40,8321,5206,3115
FH-2021-00373,2021-10-24,2021-11-18,2021-11-20,2021-12-30,Ganho,1,2021,2021-11,Sérgio Tavares,Clinipar Integrada,Operadora verticalizada,PE,Implante de joelho,Ortopedia,42525,42525,0,,,45,127,172,25,40,4192,3143,1049
FH-2021-00132,2021-10-25,,,,Perdido,0,2021,2021-10,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Implante de joelho,Ortopedia,99148,0,99148,Cliente com fornecedor exclusivo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00181,2021-10-26,,,,Perdido,0,2021,2021-10,Ricardo Aragão,Hospital Vale do Capibaribe,Hospital privado,PE,Kit de consumo cirúrgico,Cirurgia geral,13124,0,13124,Sem contrato para atender,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00055,2021-10-27,2021-11-18,2021-12-08,2022-03-10,Ganho,1,2021,2021-12,Fábio Correia,Vitalis Rede Integrada,Operadora verticalizada,PE,Cateter para angioplastia,Cardiologia,352291,352291,0,,,61,160,221,22,92,34632,13009,21623
FH-2021-00192,2021-10-27,2021-10-31,,,Perdido,0,2021,2021-10,Sérgio Tavares,Hospital Geral de Maceió,Hospital público,RN,Implante de joelho,Ortopedia,98764,0,98764,Procedimento não autorizado pelo pagador,E2 Autorizacao,0,0,0,4,0,0,0,0
FH-2021-00083,2021-11-01,,,,Perdido,0,2021,2021-11,Paulo Menezes,Hospital Prazeres,Hospital privado,PE,Material para artroscopia,Ortopedia,37052,0,37052,Cliente com fornecedor exclusivo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00131,2021-11-01,,,,Perdido,0,2021,2021-11,Luciana Prado,Vitalis Rede Integrada,Operadora verticalizada,PE,Introdutor e guia,Cardiologia,147047,0,147047,Sem contrato para atender,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00375,2021-11-01,2021-11-26,2021-12-14,2022-01-25,Ganho,1,2021,2021-12,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Haste intramedular,Ortopedia,152145,152145,0,,,56,162,218,25,42,17042,10799,6243
FH-2021-00073,2021-11-03,2021-11-09,,,Perdido,0,2021,2021-11,Rogério Lins,Hospital Areia Preta,Hospital privado,AL,Marcapasso,Cardiologia,160668,0,160668,Troca de fonte pagadora no meio do processo,E2 Autorizacao,0,0,0,6,0,0,0,0
FH-2021-00086,2021-11-03,2021-11-19,2021-11-25,2022-01-30,Ganho,1,2021,2021-11,Rogério Lins,Clinipar Integrada,Operadora verticalizada,PE,Haste intramedular,Ortopedia,256305,256305,0,,,44,142,186,16,66,16527,9436,7091
FH-2021-00109,2021-11-04,2021-11-20,2021-12-07,2022-03-10,Ganho,1,2021,2021-12,Luciana Prado,Hospital Monte Sinai,Hospital privado,PE,Placas e parafusos,Ortopedia,26309,26309,0,,,44,109,153,16,93,1796,1072,724
FH-2021-00167,2021-11-05,2021-11-30,2021-12-13,2022-01-13,Ganho,1,2021,2021-12,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Marcapasso,Cardiologia,376139,376139,0,,,49,159,208,25,31,34679,17322,17357
FH-2021-00035,2021-11-06,2021-11-09,2021-11-29,2022-02-23,Perdido,0,2021,2021-11,Tatiana Coelho,Hospital Ilha do Leite,Hospital privado,PE,Cateter para angioplastia,Cardiologia,63007,0,63007,Inadimplência do cliente,E4 Faturamento,14,0,14,3,86,0,0,0
FH-2021-00346,2021-11-09,2021-11-23,,,Perdido,0,2021,2021-11,Rogério Lins,Hospital Regional do Agreste,Hospital público,RN,Stent farmacológico,Cardiologia,184485,0,184485,Cirurgia cancelada,E2 Autorizacao,0,0,0,14,0,0,0,0
FH-2021-00226,2021-11-10,,,,Perdido,0,2021,2021-11,Luciana Prado,Vitalis Rede Integrada,Operadora verticalizada,PE,Placas e parafusos,Ortopedia,187580,0,187580,Cotação respondida fora do prazo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00069,2021-11-13,,,,Perdido,0,2021,2021-11,Tatiana Coelho,Hospital Costa Verde,Hospital privado,RN,Malha e tela cirúrgica,Cirurgia geral,43577,0,43577,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00306,2021-11-13,2021-12-01,2021-12-20,2022-02-10,Ganho,1,2021,2021-12,Paulo Menezes,Hospital Ponta Verde,Hospital privado,PE,Implante de joelho,Ortopedia,55790,55790,0,,,41,134,175,18,52,5131,2891,2240
FH-2021-00287,2021-11-14,2021-11-30,2021-12-04,2022-01-03,Ganho,1,2021,2021-12,Marcelo Bastos,Bem-Estar Saúde,Operadora verticalizada,PE,Material para artroscopia,Ortopedia,233419,233419,0,,,43,125,168,16,30,13416,4599,8817
FH-2021-00288,2021-11-15,,,,Perdido,0,2021,2021-11,Marcelo Bastos,Vitalis Rede Integrada,Operadora verticalizada,PE,Material para artroscopia,Ortopedia,110342,0,110342,Cliente com fornecedor exclusivo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00297,2021-11-15,2021-11-25,2021-12-06,2022-01-11,Ganho,1,2021,2021-12,Ricardo Aragão,Hospital Areia Preta,Hospital privado,AL,Material para artroscopia,Ortopedia,48971,48971,0,,,46,168,214,10,36,8149,4911,3238
FH-2021-00188,2021-11-16,2021-11-30,,,Perdido,0,2021,2021-11,Ricardo Aragão,Vitalis Rede Integrada,Operadora verticalizada,PE,Marcapasso,Cardiologia,515386,0,515386,Procedimento não autorizado pelo pagador,E2 Autorizacao,0,0,0,14,0,0,0,0
FH-2021-00355,2021-11-18,,,,Perdido,0,2021,2021-11,Marcelo Bastos,Bem-Estar Saúde,Operadora verticalizada,PE,Implante de joelho,Ortopedia,143281,0,143281,Cliente com fornecedor exclusivo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00029,2021-11-19,,,,Perdido,0,2021,2021-11,Luciana Prado,Hospital Municipal de Jaboatão,Hospital público,PE,Implante de quadril,Ortopedia,248245,0,248245,Cliente com fornecedor exclusivo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00098,2021-11-19,2021-12-14,2021-12-29,2022-02-21,Ganho,1,2021,2021-12,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Implante de quadril,Ortopedia,107187,107187,0,,,78,178,256,25,54,10401,2942,7459
FH-2021-00173,2021-11-20,2021-12-09,2021-12-19,2022-02-05,Ganho,1,2021,2021-12,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Implante de quadril,Ortopedia,90463,90463,0,,,54,168,222,19,48,13870,8597,5273
FH-2021-00309,2021-11-20,2021-12-03,,,Perdido,0,2021,2021-11,Rogério Lins,Vitalis Rede Integrada,Operadora verticalizada,PE,Implante de joelho,Ortopedia,13810,0,13810,Procedimento não autorizado pelo pagador,E2 Autorizacao,0,0,0,13,0,0,0,0
FH-2021-00367,2021-11-21,2021-12-09,2021-12-22,2022-01-23,Ganho,1,2021,2021-12,Rogério Lins,Vitalis Rede Integrada,Operadora verticalizada,PE,Stent farmacológico,Cardiologia,296034,296034,0,,,38,110,148,18,32,18359,8785,9574
FH-2021-00345,2021-11-25,,,,Perdido,0,2021,2021-11,Fábio Correia,Vitalis Rede Integrada,Operadora verticalizada,PE,Stent farmacológico,Cardiologia,325629,0,325629,Produto indisponível em estoque,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00159,2021-11-27,2021-12-04,2021-12-12,,Perdido,0,2021,2021-12,Tatiana Coelho,Hospital São Rafael de Olinda,Hospital privado,PE,Placas e parafusos,Ortopedia,55402,0,55402,Material devolvido sem uso,E3 Cirurgia,12,0,12,7,0,0,0,0
FH-2021-00052,2021-11-28,,,,Perdido,0,2021,2021-11,Luciana Prado,Hospital Monte Sinai,Hospital privado,PE,Haste intramedular,Ortopedia,41994,0,41994,Sem contrato para atender,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00305,2021-11-28,2021-12-18,2021-12-24,2022-02-12,Ganho,1,2021,2021-12,Sérgio Tavares,Hospital Aurora,Hospital privado,AL,Haste intramedular,Ortopedia,43464,43464,0,,,54,121,175,20,50,4497,3180,1317
FH-2021-00331,2021-11-28,2021-12-21,2022-01-05,2022-03-03,Ganho,1,2022,2022-01,Luciana Prado,Hospital Regional de Petrolina,Hospital público,PE,Cateter para angioplastia,Cardiologia,179390,179390,0,,,43,105,148,23,57,12846,6044,6802
FH-2021-00262,2021-12-01,,,,Perdido,0,2021,2021-12,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Implante de joelho,Ortopedia,56692,0,56692,Preço acima do concorrente,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00229,2021-12-02,2021-12-27,2022-01-09,2022-04-12,Ganho,1,2022,2022-01,Marcelo Bastos,Hospital Municipal de Jaboatão,Hospital público,PE,Cateter para angioplastia,Cardiologia,172145,172145,0,,,43,143,186,25,93,9976,4176,5800
FH-2021-00019,2021-12-03,2021-12-28,2021-12-31,2022-04-02,Ganho,1,2021,2021-12,Fábio Correia,Hospital Cabo Branco,Hospital privado,PE,Implante de quadril,Ortopedia,89040,89040,0,,,38,148,186,25,92,6107,1984,4123
FH-2021-00281,2021-12-03,,,,Perdido,0,2021,2021-12,Ricardo Aragão,Vitalis Rede Integrada,Operadora verticalizada,PE,Malha e tela cirúrgica,Cirurgia geral,14523,0,14523,Cliente com fornecedor exclusivo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00197,2021-12-04,2021-12-13,2021-12-25,2022-01-31,Ganho,1,2021,2021-12,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Marcapasso,Cardiologia,61975,61975,0,,,74,160,234,9,37,5305,1569,3736
FH-2021-00284,2021-12-04,2021-12-24,2021-12-28,2022-02-18,Ganho,1,2021,2021-12,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Material para artroscopia,Ortopedia,85905,85905,0,,,62,176,238,20,52,10478,3035,7443
FH-2021-00339,2021-12-04,2021-12-11,,,Perdido,0,2021,2021-12,Ricardo Aragão,Clinipar Integrada,Operadora verticalizada,PE,Implante de quadril,Ortopedia,131781,0,131781,Cirurgia cancelada,E2 Autorizacao,0,0,0,7,0,0,0,0
FH-2021-00261,2021-12-07,,,,Perdido,0,2021,2021-12,Luciana Prado,Hospital Regional do Agreste,Hospital público,RN,Implante de quadril,Ortopedia,49598,0,49598,Cotação respondida fora do prazo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00090,2021-12-08,2021-12-22,,,Perdido,0,2021,2021-12,Paulo Menezes,Clinipar Integrada,Operadora verticalizada,PE,Grampeador cirúrgico,Cirurgia geral,251779,0,251779,Autorização expirou,E2 Autorizacao,0,0,0,14,0,0,0,0
FH-2021-00002,2021-12-10,,,,Perdido,0,2021,2021-12,Paulo Menezes,Clinipar Integrada,Operadora verticalizada,PE,Haste intramedular,Ortopedia,360630,0,360630,Cotação respondida fora do prazo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00135,2021-12-12,,,,Perdido,0,2021,2021-12,Marcelo Bastos,Hospital São Rafael de Olinda,Hospital privado,PE,Haste intramedular,Ortopedia,24069,0,24069,Sem contrato para atender,E1 Cotacao,0,0,0,0,0,0,0,0
